0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AFR|AFR|Афоре|Афоре|Afore|Afore|Афоре|Афоре|Afore|Afore|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-9.133|-9.133|148.383|148.383
AFS|AFS|Зарафшан|Зарафшан|Zarafshan|Zarafshan|Зарафшан|Зарафшан|Zarafshan|Zarafshan|Узбекистан|Узбекистан|41.613611|41.613611|64.232777|64.232777
AFT|AFT|||Afutara Aerodrome|Afutara Aerodrome|Афутара|Афутара|Afutara|Afutara|Соломоновы острова|Соломоновы острова|-9.191111|-9.191111|160.949167|160.949167
AFW|AFW|||Fort Worth Alliance|Fort Worth Alliance|||Fort Worth, TX|Fort Worth, TX|США|США|32.990307|32.990307|-97.319428|-97.319428
AFY|AFY|Афион|Афион|Afyon|Afyon|Афион|Афион|Afyon|Afyon|Турция|Турция|38.726425|38.726425|30.601114|30.601114
AFZ|AFZ|||Sabzevar|Sabzevar|||Sabzevar|Sabzevar|Иран|Иран|36.168083|36.168083|57.595183|57.595183
AGA|AGA|Агадир Альмассира|Агадир Альмассира|Agadir Almassira|Agadir Almassira|Агадир|Агадир|Agadir|Agadir|Марокко|Марокко|30.322500|30.322500|-9.411388|-9.411388
AGB|AGB|||Augsburg - Muehlhausen|Augsburg - Muehlhausen|Мюнхен|Мюнхен|Munich|Munich|Германия|Германия|48.425158|48.425158|10.931764|10.931764
AGC|AGC|||Allegheny County|Allegheny County|Питтсборо|Питтсборо|Pittsburgh|Pittsburgh|США|США|40.354401|40.354401|-79.930169|-79.930169
AGD|AGD|Ангги|Ангги|Anggi|Anggi|Ангги|Ангги|Anggi|Anggi|Индонезия|Индонезия|-1.329913|-1.329913|133.911031|133.911031
AGE|AGE|||Flugplatz|Flugplatz|Вангерооге|Вангерооге|Wangerooge|Wangerooge|Германия|Германия|53.788333|53.788333|7.920556|7.920556
AGF|AGF|||La Garenne|La Garenne|Аген|Аген|Agen|Agen|Франция|Франция|44.174714|44.174714|0.590619|0.590619
AGG|AGG|Ангорам|Ангорам|Angoram|Angoram|Ангорам|Ангорам|Angoram|Angoram|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-4.050|-4.050|144.067|144.067
AGH|AGH|||Angelholm|Angelholm|||Angelholm/Helsingborg|Angelholm/Helsingborg|Швеция|Швеция|56.296072|56.296072|12.847139|12.847139
